Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,65.550003,65.989998,61.910000,65.529999,65.529999,8046600
2022-09-02,67.709999,68.139999,63.820000,65.260002,65.260002,6392800
2022-09-06,65.559998,66.879997,62.599998,62.779999,62.779999,7478100
2022-09-07,62.000000,68.769997,61.830002,68.250000,68.250000,8408400
2022-09-08,66.360001,73.330002,65.500000,73.080002,73.080002,9241500
2022-09-09,78.199997,81.040001,75.150002,80.870003,80.870003,15357100
2022-09-12,82.599998,84.580002,80.599998,82.550003,82.550003,12554900
2022-09-13,75.339996,78.089996,74.349998,75.250000,75.250000,11235300
2022-09-14,75.300003,79.199997,74.110001,78.699997,78.699997,10840700
2022-09-15,77.629997,82.000000,76.629997,77.230003,77.230003,10950100
2022-09-16,75.150002,76.370003,73.599998,74.000000,74.000000,17089000
2022-09-19,71.879997,72.540001,67.000000,69.930000,69.930000,13135300
2022-09-20,68.089996,69.800003,66.169998,67.940002,67.940002,7974500
2022-09-21,68.900002,72.239998,67.430000,67.639999,67.639999,12344600
2022-09-22,67.400002,68.980003,62.310001,62.939999,62.939999,11156900
2022-09-23,61.560001,63.150002,59.430000,61.880001,61.880001,10932900
2022-09-26,62.980000,66.330002,62.180000,62.279999,62.279999,9562600
2022-09-27,65.290001,67.550003,61.880001,63.049999,63.049999,11860500
2022-09-28,62.799999,67.739998,62.759998,67.309998,67.309998,8482700
2022-09-29,64.620003,65.029999,60.259998,61.939999,61.939999,11492100
2022-09-30,61.250000,67.589996,61.070000,64.489998,64.489998,10210300
2022-10-03,64.949997,67.860001,61.919998,65.949997,65.949997,10949200
2022-10-04,69.089996,74.629997,69.080002,74.500000,74.500000,11881400
2022-10-05,71.800003,73.480003,69.279999,72.970001,72.970001,9222700
2022-10-06,73.070000,76.279999,71.339996,73.910004,73.910004,11103700
2022-10-07,70.849998,71.099998,65.500000,67.000000,67.000000,11427900
2022-10-10,67.580002,69.260002,65.430000,67.040001,67.040001,7714000
2022-10-11,67.610001,72.690002,65.029999,70.160004,70.160004,17705600
2022-10-12,69.739998,71.849998,67.820000,69.949997,69.949997,8998900
2022-10-13,63.660000,69.629997,61.060001,69.260002,69.260002,18342000
2022-10-14,71.849998,73.790001,63.380001,63.590000,63.590000,13711600
2022-10-17,66.480003,70.949997,66.339996,69.169998,69.169998,11263300
2022-10-18,72.900002,73.900002,65.300003,66.209999,66.209999,13874700
2022-10-19,64.820000,66.889999,62.549999,63.189999,63.189999,8601100
2022-10-20,63.139999,67.430000,62.700001,63.590000,63.590000,8938700
2022-10-21,63.400002,66.629997,61.700001,66.379997,66.379997,9156400
2022-10-24,67.400002,68.150002,63.680000,66.389999,66.389999,8111700
2022-10-25,67.010002,75.400002,66.959999,75.050003,75.050003,14446900
2022-10-26,75.279999,78.290001,73.099998,73.809998,73.809998,14102500
2022-10-27,74.510002,75.650002,71.510002,72.470001,72.470001,5967600
2022-10-28,72.000000,73.720001,69.349998,72.070000,72.070000,7372100
2022-10-31,72.370003,74.650002,66.150002,66.250000,66.250000,10648400
2022-11-01,69.000000,69.709999,63.130001,63.290001,63.290001,8238200
2022-11-02,63.400002,66.209999,60.549999,60.709999,60.709999,12700900
2022-11-03,59.400002,61.880001,55.750000,55.799999,55.799999,14238800
2022-11-04,60.400002,63.430000,56.400002,58.820000,58.820000,18901400
2022-11-07,60.000000,60.990002,54.220001,56.970001,56.970001,13659100
2022-11-08,54.500000,58.450001,47.689999,50.830002,50.830002,61868200
2022-11-09,47.090000,49.689999,44.619999,45.980000,45.980000,42274200
2022-11-10,51.040001,53.930000,49.020000,50.919998,50.919998,30695400
2022-11-11,47.500000,58.290001,46.250000,57.459999,57.459999,30584500
2022-11-14,55.700001,55.740002,52.599998,53.220001,53.220001,16150900
2022-11-15,55.000000,58.000000,54.599998,55.529999,55.529999,14805300
2022-11-16,52.830002,54.029999,48.000000,48.830002,48.830002,24054700
2022-11-17,46.669998,49.970001,45.180000,48.790001,48.790001,17974700
2022-11-18,48.799999,49.000000,44.310001,45.259998,45.259998,20287300
2022-11-21,43.599998,44.639999,40.610001,41.230000,41.230000,22382000
2022-11-22,42.349998,44.400002,41.610001,43.389999,43.389999,20783100
2022-11-23,43.849998,46.169998,42.209999,45.570000,45.570000,14665800
2022-11-25,44.759998,45.240002,43.700001,44.279999,44.279999,6451500
2022-11-28,43.299999,44.900002,42.020000,42.509998,42.509998,10497900
2022-11-29,42.910000,44.650002,42.700001,43.110001,43.110001,9090600
2022-11-30,43.709999,45.880001,41.509998,45.730000,45.730000,15562700
2022-12-01,45.820000,47.189999,44.439999,45.270000,45.270000,11579400
2022-12-02,43.970001,47.700001,43.730000,47.669998,47.669998,10372100
2022-12-05,47.980000,49.849998,45.630001,46.000000,46.000000,11228300
2022-12-06,45.599998,46.650002,41.730000,42.410000,42.410000,12156100
2022-12-07,41.880001,43.200001,40.549999,41.259998,41.259998,10824500
2022-12-08,41.560001,43.900002,40.299999,42.810001,42.810001,9361800
2022-12-09,41.599998,42.320000,40.150002,40.240002,40.240002,10030200
2022-12-12,39.980000,42.650002,39.650002,42.599998,42.599998,9962600
2022-12-13,46.009998,46.330002,38.500000,38.689999,38.689999,20558300
2022-12-14,39.410000,41.900002,38.820000,40.189999,40.189999,16117600
2022-12-15,38.950001,39.599998,37.439999,37.980000,37.980000,12013400
2022-12-16,37.400002,38.009998,34.709999,36.599998,36.599998,18247400
2022-12-19,35.970001,36.680000,34.509998,35.169998,35.169998,11168300
2022-12-20,34.750000,36.860001,34.349998,34.970001,34.970001,9833200
2022-12-21,35.310001,36.099998,34.799999,35.150002,35.150002,6998600
2022-12-22,34.930000,35.349998,32.950001,34.590000,34.590000,10335700
2022-12-23,34.770000,35.980000,33.669998,35.490002,35.490002,8222700
2022-12-27,34.500000,34.560001,32.439999,32.650002,32.650002,10940800
2022-12-28,32.580002,33.480000,31.830000,32.529999,32.529999,7839700
2022-12-29,33.459999,35.330002,33.369999,34.779999,34.779999,7675500
2022-12-30,33.959999,35.869999,33.630001,35.389999,35.389999,8397900
2023-01-03,36.490002,36.930000,33.369999,33.599998,33.599998,8514300
2023-01-04,34.590000,38.500000,34.540001,37.700001,37.700001,17737400
2023-01-05,34.709999,35.259998,32.750000,33.529999,33.529999,16934500
2023-01-06,33.669998,33.750000,31.549999,33.259998,33.259998,15527800
2023-01-09,35.189999,39.380001,34.720001,38.270000,38.270000,18904100
2023-01-10,37.759998,43.290001,37.740002,43.230000,43.230000,24496700
2023-01-11,41.959999,43.840000,40.630001,43.790001,43.790001,16152700
2023-01-12,45.150002,47.650002,41.669998,47.549999,47.549999,20514700
2023-01-13,46.240002,50.630001,45.380001,49.980000,49.980000,22437800
2023-01-17,53.310001,54.980000,50.700001,54.139999,54.139999,23521200
2023-01-18,54.220001,57.330002,50.000000,50.209999,50.209999,24905700
2023-01-19,49.209999,51.000000,47.919998,49.419998,49.419998,14073300
2023-01-20,50.380001,55.189999,48.799999,55.160000,55.160000,15433900
2023-01-23,55.000000,56.689999,53.209999,55.959999,55.959999,17736400
2023-01-24,54.200001,56.470001,53.340000,53.560001,53.560001,12413900
2023-01-25,51.500000,53.410000,49.599998,52.759998,52.759998,13343600
2023-01-26,56.060001,56.099998,51.970001,53.020000,53.020000,12614900
2023-01-27,52.939999,62.290001,52.410000,61.369999,61.369999,24431000
2023-01-30,60.009998,61.860001,55.669998,56.160000,56.160000,14553900
2023-01-31,57.700001,60.439999,55.910000,58.480000,58.480000,14751600
2023-02-01,59.080002,66.220001,56.650002,65.699997,65.699997,18840800
2023-02-02,68.459999,85.540001,68.309998,81.459999,81.459999,43911200
2023-02-03,73.720001,87.629997,73.019997,74.629997,74.629997,37125500
2023-02-06,73.180000,75.980003,70.519997,74.589996,74.589996,17998400
2023-02-07,73.430000,73.480003,67.300003,71.419998,71.419998,19819700
2023-02-08,70.830002,73.970001,68.300003,69.440002,69.440002,11626500
2023-02-09,68.489998,68.930000,59.000000,59.630001,59.630001,23920200
2023-02-10,58.259998,61.740002,55.970001,57.090000,57.090000,17359900
2023-02-13,55.520000,57.090000,53.660000,56.400002,56.400002,14435900
2023-02-14,56.330002,61.080002,55.029999,59.029999,59.029999,23945800
2023-02-15,60.209999,69.459999,59.459999,69.339996,69.339996,25552900
2023-02-16,65.900002,73.300003,63.910000,65.589996,65.589996,31704800
2023-02-17,64.940002,67.900002,61.509998,65.199997,65.199997,23252200
2023-02-21,63.320000,66.870003,61.849998,62.070000,62.070000,19845700
2023-02-22,62.500000,67.480003,57.349998,61.180000,61.180000,32937500
2023-02-23,63.959999,64.650002,59.889999,62.360001,62.360001,16698500
2023-02-24,60.880001,61.590000,56.799999,58.439999,58.439999,14546200
2023-02-27,59.939999,60.970001,58.169998,58.959999,58.959999,13043000
2023-02-28,59.680000,67.500000,59.419998,64.830002,64.830002,24843900
2023-03-01,65.300003,66.790001,63.090000,64.669998,64.669998,15827100
2023-03-02,61.070000,63.900002,57.500000,63.700001,63.700001,18091700
2023-03-03,61.639999,65.559998,61.380001,64.510002,64.510002,17579000
2023-03-06,64.599998,69.820000,62.639999,62.770000,62.770000,19826100
2023-03-07,62.799999,64.660004,60.590000,61.889999,61.889999,15821500
2023-03-08,61.200001,65.459999,60.349998,63.009998,63.009998,15427800
2023-03-09,62.389999,64.120003,57.209999,58.090000,58.090000,20996600
2023-03-10,56.389999,56.410000,51.570000,53.439999,53.439999,25743800
2023-03-13,54.709999,61.099998,50.770000,59.169998,59.169998,31431900
2023-03-14,65.449997,66.209999,61.099998,62.650002,62.650002,25167800
2023-03-15,61.900002,66.290001,61.180000,64.470001,64.470001,20825700
2023-03-16,64.400002,68.620003,63.119999,67.779999,67.779999,15474500
2023-03-17,70.519997,76.800003,69.099998,74.980003,74.980003,31006200
2023-03-20,76.760002,77.059998,72.870003,75.139999,75.139999,19026400
2023-03-21,76.239998,85.050003,75.769997,83.989998,83.989998,22991900
2023-03-22,84.250000,85.379997,76.860001,77.139999,77.139999,24463200
2023-03-23,61.849998,70.000000,61.509998,66.300003,66.300003,43152800
2023-03-24,64.180000,68.730003,63.529999,67.830002,67.830002,21614100
2023-03-27,67.199997,67.599998,60.509998,62.540001,62.540001,23531300
2023-03-28,62.320000,64.050003,61.110001,63.040001,63.040001,11635900
2023-03-29,65.419998,68.629997,63.770000,65.300003,65.300003,17673800
2023-03-30,66.529999,67.169998,63.680000,64.160004,64.160004,11563100
2023-03-31,64.699997,68.570000,63.930000,67.570000,67.570000,15926600
2023-04-03,66.010002,68.330002,62.700001,63.610001,63.610001,14040300
2023-04-04,64.660004,65.400002,60.950001,62.540001,62.540001,11654400
2023-04-05,62.540001,63.049999,59.220001,60.779999,60.779999,10788900
2023-04-06,59.570000,62.740002,58.200001,61.439999,61.439999,11875200
2023-04-10,61.369999,66.190002,59.660000,66.129997,66.129997,14391800
2023-04-11,68.089996,72.610001,67.239998,70.190002,70.190002,25348800
2023-04-12,70.769997,72.019997,66.230003,67.839996,67.839996,16773400
2023-04-13,69.889999,72.529999,68.050003,68.949997,68.949997,19718500
2023-04-14,69.300003,71.699997,67.870003,69.910004,69.910004,12887200
2023-04-17,67.120003,68.050003,64.900002,67.720001,67.720001,13344200
2023-04-18,70.389999,71.790001,66.550003,67.260002,67.260002,14835500
2023-04-19,64.360001,65.940002,63.400002,64.440002,64.440002,10327000
2023-04-20,63.230000,65.330002,60.169998,60.500000,60.500000,11452900
2023-04-21,61.080002,61.450001,58.709999,59.040001,59.040001,13235100
2023-04-24,58.959999,59.090000,54.080002,54.750000,54.750000,21135700
2023-04-25,55.709999,56.090000,53.619999,55.549999,55.549999,14383300
2023-04-26,59.509998,59.509998,53.599998,53.889999,53.889999,16761200
2023-04-27,54.669998,55.720001,53.580002,54.169998,54.169998,12010900
2023-04-28,53.650002,54.520000,52.169998,53.790001,53.790001,11629800
2023-05-01,53.169998,54.380001,48.450001,50.139999,50.139999,18437900
2023-05-02,50.200001,52.139999,48.259998,51.320000,51.320000,16778400
2023-05-03,50.150002,51.599998,48.310001,48.490002,48.490002,13325600
2023-05-04,48.720001,50.470001,47.650002,49.220001,49.220001,13044400
2023-05-05,54.049999,58.580002,53.750000,58.240002,58.240002,25551700
2023-05-08,55.900002,58.799999,54.610001,58.099998,58.099998,15259400
2023-05-09,57.900002,60.240002,56.590000,60.209999,60.209999,9641200
2023-05-10,61.450001,63.750000,59.889999,62.639999,62.639999,15481300
2023-05-11,62.410000,63.110001,59.770000,60.349998,60.349998,8843500
2023-05-12,60.889999,61.130001,56.770000,57.340000,57.340000,9096200
2023-05-15,58.400002,61.299999,57.200001,60.770000,60.770000,9429300
2023-05-16,58.680000,60.110001,57.139999,57.880001,57.880001,7867900
2023-05-17,57.490002,61.310001,57.299999,61.040001,61.040001,8998400
2023-05-18,60.470001,61.700001,58.599998,60.259998,60.259998,8330300
2023-05-19,60.570000,61.470001,56.590000,56.779999,56.779999,12474800
2023-05-22,56.889999,61.099998,55.900002,61.070000,61.070000,12683400
2023-05-23,61.000000,63.250000,58.669998,59.099998,59.099998,12208200
2023-05-24,57.779999,58.970001,56.599998,58.360001,58.360001,8198300
2023-05-25,58.560001,59.139999,55.880001,56.869999,56.869999,7997400
2023-05-26,56.860001,58.910000,56.630001,56.919998,56.919998,7788100
2023-05-30,60.099998,63.380001,59.230000,61.169998,61.169998,14814200
2023-05-31,59.299999,62.590000,59.209999,62.200001,62.200001,10112600
2023-06-01,61.799999,66.360001,60.669998,63.570000,63.570000,11729000
2023-06-02,65.110001,65.220001,62.000000,64.550003,64.550003,8599200
2023-06-05,63.380001,64.440002,55.810001,58.709999,58.709999,26413200
2023-06-06,47.099998,52.380001,46.430000,51.610001,51.610001,56259900
2023-06-07,53.290001,54.000000,51.700001,53.259998,53.259998,18905500
2023-06-08,52.209999,55.049999,51.959999,54.900002,54.900002,12773600
2023-06-09,55.000000,57.419998,52.480000,53.279999,53.279999,14365000
2023-06-12,52.529999,52.930000,50.099998,50.560001,50.560001,12447200
2023-06-13,51.799999,52.660000,50.520000,52.400002,52.400002,11560800
2023-06-14,52.810001,54.790001,51.560001,53.900002,53.900002,11241200
2023-06-15,52.709999,54.580002,50.930000,54.250000,54.250000,11801700
2023-06-16,55.410000,56.279999,53.900002,55.590000,55.590000,13726100
2023-06-20,55.900002,57.939999,53.630001,57.090000,57.090000,14143500
2023-06-21,58.900002,59.240002,56.820000,58.099998,58.099998,20569700
2023-06-22,58.980000,59.279999,55.099998,57.490002,57.490002,12837400
2023-06-23,56.849998,61.889999,55.750000,61.470001,61.470001,26042300
